year;value;variation
1994;6511606;0
1995;7053472;0.083215416
1996;7619389;0.080232402
1997;7760994;0.018584824
1998;7865483;0.013463353
1999;8286220;0.053491566
2000;8448542;0.019589391
2001;8347153;-0.012000769
2002;8321683;-0.00305134
2003;7967198;-0.042597753
2004;8523304;0.069799445
2005;8604870;0.009569763
2006;8692925;0.010233159
2007;8912525;0.025261923
2008;8629103;-0.031800416
2009;8110823;-0.060061863
2010;8415366;0.037547731
2011;8290685;-0.014815874
2012;8342941;0.006302977
2013;8569470;0.027152176
2014;8935437;0.042705908
2015;9368521;0.048468139
2016;10045068;0.072214921
2017;10378744;0.033217894
2018;10761124;0.036842608
