Area name;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
London;63 800;69 800;70 900;69 100;71 400;71 400;71 500;68 300;71 100;79 000;83 600;90 700;95 300;104 000;112 800;118 600;124 500
City of London;2 400;2 900;3 100;2 900;3 000;2 900;3 100;2 800;2 900;3 200;3 200;3 700;4 200;5 200;5 900;6 700;6 800
Barking and Dagenham;300;300;300;300;300;300;300;300;200;300;300;300;300;300;300;400;300
Barnet;1 600;1 600;1 600;1 500;1 500;1 500;1 700;1 400;2 100;2 300;1 700;1 800;2 100;2 200;2 400;2 400;2 900
Bexley;800;800;800;800;700;800;800;600;600;700;800;800;800;800;800;1 000;1 000
Brent;800;1 200;1 100;900;700;800;900;800;1 000;1 000;1 300;1 500;1 400;1 500;1 700;1 900;1 900
Bromley;1 400;1 500;1 700;1 500;1 500;1 600;1 600;1 400;1 400;1 400;1 500;1 800;1 800;1 800;2 200;2 200;2 200
Camden;5 000;5 300;5 300;4 900;4 900;5 100;4 700;4 400;5 000;5 300;5 700;6 500;7 100;7 800;9 100;9 400;10 200
Croydon;1 300;1 300;1 500;1 300;1 300;1 300;1 500;1 500;1 400;1 300;1 600;1 500;1 500;1 500;1 600;1 600;1 800
Ealing;1 200;1 200;1 200;1 500;1 200;1 100;1 100;1 100;1 000;1 900;2 000;2 000;1 800;1 600;1 900;1 800;1 900
Enfield;1 100;1 100;1 100;1 100;1 000;1 000;1 000;1 000;900;900;1 100;1 100;1 000;1 100;1 300;1 300;1 300
Greenwich;700;700;600;700;800;700;800;700;800;1 000;1 200;1 500;1 700;1 500;1 700;1 900;2 000
Hackney;600;600;800;900;900;1 000;900;1 100;1 200;1 400;1 800;2 100;2 300;2 700;3 700;4 000;4 700
Hammersmith and Fulham;1 400;1 700;1 800;1 700;1 900;1 800;1 900;1 800;1 900;2 300;2 700;3 100;3 100;3 400;3 500;3 500;3 700
Haringey;600;600;800;800;900;800;800;700;800;700;800;900;900;1 200;1 300;1 500;1 400
Harrow;900;1 000;1 000;1 000;1 000;900;1 000;900;900;1 000;1 100;1 200;1 100;1 300;1 400;1 200;1 400
Havering;800;700;900;800;1 000;800;900;900;1 300;1 300;1 100;1 200;1 300;1 100;1 200;1 500;1 400
Hillingdon;1 700;1 600;2 100;2 000;1 900;1 800;1 900;1 800;1 800;2 200;2 400;2 600;2 700;2 700;2 500;2 600;2 900
Hounslow;800;800;800;800;800;900;900;1 000;1 100;1 100;1 100;1 300;1 300;1 400;1 400;1 400;1 600
Islington;2 000;2 100;1 900;1 900;2 300;2 300;2 500;2 500;2 600;2 800;2 800;3 200;3 300;3 600;4 700;4 500;5 000
Kensington and Chelsea;5 200;6 400;5 900;6 000;6 000;5 700;5 700;5 300;5 700;6 200;6 300;6 700;7 100;7 100;7 400;7 500;7 700
Kingston upon Thames;1 100;1 000;1 200;1 100;1 300;1 600;1 300;1 200;1 200;1 100;1 100;1 300;1 300;1 400;1 400;1 500;1 600
Lambeth;1 800;2 200;2 100;2 100;2 000;1 800;1 500;1 600;1 800;2 100;2 200;2 500;2 700;3 400;3 600;3 900;4 100
Lewisham;500;600;600;500;500;600;600;600;600;700;800;1 000;900;900;1 000;1 100;1 100
Merton;800;800;800;900;1 000;900;1 000;800;900;1 000;1 100;1 200;1 200;1 300;1 400;1 400;1 500
Newham;400;500;500;600;500;700;700;700;700;900;900;1 100;1 600;2 200;2 300;2 400;2 300
Redbridge;800;700;700;800;900;900;900;800;800;900;1 000;1 000;1 000;1 000;1 200;1 200;1 200
Richmond upon Thames;1 500;1 700;1 600;1 600;1 700;1 600;1 600;1 600;1 700;1 700;1 700;1 700;1 800;1 900;2 100;1 900;2 100
Southwark;1 900;2 200;2 200;2 000;2 400;2 600;2 500;2 400;2 300;2 900;3 200;3 500;3 600;4 000;4 500;4 800;5 100
Sutton;600;600;600;600;600;600;600;600;600;600;700;700;600;600;700;700;800
Tower Hamlets;1 300;1 800;1 900;1 600;1 700;1 900;1 900;1 900;2 200;2 400;2 800;3 100;3 300;4 000;4 600;5 000;5 200
Waltham Forest;500;500;500;400;500;400;500;500;400;500;600;600;600;600;700;900;1 100
Wandsworth;1 700;2 000;2 000;2 000;1 900;2 100;2 200;1 800;2 000;2 500;2 500;2 500;2 500;3 000;3 100;3 200;3 300
Westminster;20 500;21 600;22 100;21 700;22 500;22 800;22 200;21 600;21 500;23 400;24 700;25 700;27 400;29 900;30 200;32 300;33 100
