Venue,Latitude,Longitude
Olympic Park - Olympic Stadium,51.536497854,-0.009833294
The Mall,51.50249799,-0.134499462
Wembley Arena,51.5548477806,-0.2764488942
Lord's Cricket Ground,51.5294,-0.1727
Horse Guards Parade,51.50401,-0.12979
ExCeL,51.504497982,0.024499902
Lee Valley White Water Centre,51.6888,0.0172
Eton Dorney,51.4933,-0.6655
Greenwich Park,51.47669,0.00013
North Greenwich Arena,51.5017963261,0.00187999248
Hyde Park,51.505164646,-0.158166034
Earls Court,51.48666472,-0.191999232
Wembley Stadium,51.553497786,-0.274498902
Royal Artillery Barracks,51.485331392,0.056166442
Wimbledon - No.1 Court,51.434498262,-0.2088824978
